


trunk
|            name |  nvar | elapsed_time |  iter | dual_feas |      status | objective | neval_obj | neval_grad | neval_hprod | first_criteria | second_criteria | third_criteria |
|-----------------|-------|--------------|-------|-----------|-------------|-----------|-----------|------------|-------------|----------------|-----------------|----------------|
|   Rosenbrock 20 |    20 |      9.0e-03 |    37 |   2.2e-05 | first_order |   4.0e+00 |        79 |         37 |         473 |           2629 |         3.4e-06 |        4.7e+01 |
|  ChainedWood 20 |    20 |      3.2e-02 |    41 |   4.2e-04 | first_order |   8.8e-09 |        81 |         40 |         488 |           2721 |         1.2e-05 |        4.9e+01 |
| ChainedPowel 20 |    20 |      4.0e-03 |    12 |   3.2e-03 | first_order |   2.6e-05 |        13 |         13 |          65 |            403 |         9.9e-06 |        1.0e+02 |
|    CraggLevy 20 |    20 |      5.0e-03 |    13 |   4.1e-03 | first_order |   1.7e+04 |        17 |         14 |         105 |            612 |         8.2e-06 |        8.2e+01 |
|        Brown 20 |    20 |      9.0e-03 |     9 |   1.3e-05 | first_order |   7.1e+00 |        11 |         10 |         134 |            731 |         1.2e-05 |        9.1e+01 |
|   Rosenbrock 40 |    40 |      5.3e-02 |    66 |   1.3e-03 | first_order |   4.0e+00 |        93 |         65 |         802 |           4428 |         1.2e-05 |        7.0e+01 |
|  ChainedWood 40 |    40 |      8.3e-02 |    44 |   3.6e-04 | first_order |   1.8e-09 |        87 |         43 |         819 |           4397 |         1.9e-05 |        4.9e+01 |
| ChainedPowel 40 |    40 |      5.0e-03 |    12 |   2.8e-03 | first_order |   2.5e-05 |        13 |         13 |          68 |            418 |         1.2e-05 |        1.0e+02 |
|    CraggLevy 40 |    40 |      9.0e-03 |    12 |   3.7e-02 | first_order |   3.9e+04 |        16 |         13 |          93 |            546 |         1.6e-05 |        8.1e+01 |
|        Brown 40 |    40 |      1.2e-02 |    10 |   1.7e-05 | first_order |   2.3e+01 |        12 |         11 |         186 |            997 |         1.2e-05 |        9.2e+01 |
|   Rosenbrock 60 |    60 |      9.9e-02 |    95 |   3.1e-05 | first_order |   4.0e+00 |       122 |         94 |        1264 |           6912 |         1.4e-05 |        7.7e+01 |
|  ChainedWood 60 |    60 |      1.4e-01 |    53 |   8.0e-04 | first_order |   2.3e-10 |       122 |         52 |        1273 |           6747 |         2.1e-05 |        4.3e+01 |
| ChainedPowel 60 |    60 |      6.0e-03 |    12 |   2.8e-03 | first_order |   2.7e-05 |        13 |         13 |          69 |            423 |         1.4e-05 |        1.0e+02 |
|    CraggLevy 60 |    60 |      8.0e-03 |    12 |   3.7e-02 | first_order |   6.1e+04 |        16 |         13 |          91 |            536 |         1.5e-05 |        8.1e+01 |
|        Brown 60 |    60 |      2.0e-02 |    10 |   1.1e-05 | first_order |   4.3e+01 |        12 |         11 |         246 |           1297 |         1.5e-05 |        9.2e+01 |



lsr1_adnlpmodel
|            name |  nvar | elapsed_time |  iter | dual_feas |      status | objective | neval_obj | neval_grad | neval_hprod | first_criteria | second_criteria | third_criteria |
|-----------------|-------|--------------|-------|-----------|-------------|-----------|-----------|------------|-------------|----------------|-----------------|----------------|
|   Rosenbrock 20 |    20 |      2.2e-01 |  1396 |   2.7e-03 | first_order |   4.9e-06 |      1398 |        899 |           0 |           5893 |         3.8e-05 |        6.4e+01 |
|  ChainedWood 20 |    20 |      2.4e-01 |   298 |   2.1e-02 | first_order |   7.2e+01 |       300 |        185 |           0 |           1225 |         1.9e-04 |        6.2e+01 |
| ChainedPowel 20 |    20 |      2.0e-01 |    59 |   4.8e-03 | first_order |   8.3e-05 |        61 |         40 |           0 |            261 |         7.8e-04 |        6.6e+01 |
|    CraggLevy 20 |    20 |      4.5e-01 |  5000 |   1.1e+00 |    max_eval |   1.7e+04 |      5002 |       3101 |           0 |          20507 |         2.2e-05 |        6.2e+01 |
|        Brown 20 |    20 |      2.0e-01 |   789 |   3.0e-05 | first_order |   7.1e+00 |       791 |        700 |           0 |           4291 |         4.6e-05 |        8.8e+01 |
|   Rosenbrock 40 |    40 |      1.7e-01 |  1755 |   3.7e-03 | first_order |   7.7e-06 |      1757 |       1144 |           0 |           7477 |         2.3e-05 |        6.5e+01 |
|  ChainedWood 40 |    40 |      3.9e-01 |  2591 |   2.9e-02 | first_order |   1.0e+00 |      2593 |       1674 |           0 |          10963 |         3.6e-05 |        6.5e+01 |
| ChainedPowel 40 |    40 |      6.2e-03 |    62 |   2.9e-03 | first_order |   1.1e-05 |        64 |         41 |           0 |            269 |         2.3e-05 |        6.4e+01 |
|    CraggLevy 40 |    40 |      5.3e-01 |  5000 |   4.6e+00 |    max_eval |   3.9e+04 |      5002 |       3806 |           0 |          24032 |         2.2e-05 |        7.6e+01 |
|        Brown 40 |    40 |      6.8e-01 |  5000 |   2.9e-04 |    max_eval |   2.3e+01 |      5002 |       4855 |           0 |          29277 |         2.3e-05 |        9.7e+01 |
|   Rosenbrock 60 |    60 |      3.4e-01 |  2565 |   5.1e-03 | first_order |   1.4e-05 |      2567 |       1682 |           0 |          10977 |         3.1e-05 |        6.6e+01 |
|  ChainedWood 60 |    60 |      7.4e-01 |  3859 |   2.7e-02 | first_order |   1.7e+01 |      3861 |       2500 |           0 |          16361 |         4.5e-05 |        6.5e+01 |
| ChainedPowel 60 |    60 |      7.9e-03 |    55 |   4.4e-03 | first_order |   1.0e-04 |        57 |         37 |           0 |            242 |         3.3e-05 |        6.5e+01 |
|    CraggLevy 60 |    60 |      1.0e+00 |  5000 |   5.8e-01 |    max_eval |   6.1e+04 |      5002 |       3280 |           0 |          21402 |         4.8e-05 |        6.6e+01 |
|        Brown 60 |    60 |      3.0e-01 |   738 |   4.0e-05 | first_order |   4.3e+01 |       740 |        556 |           0 |           3520 |         8.6e-05 |        7.5e+01 |



trunk_adnlpmodel
|            name |  nvar | elapsed_time |  iter | dual_feas |      status | objective | neval_obj | neval_grad | neval_hprod | first_criteria | second_criteria | third_criteria |
|-----------------|-------|--------------|-------|-----------|-------------|-----------|-----------|------------|-------------|----------------|-----------------|----------------|
|   Rosenbrock 20 |    20 |      1.9e-01 |    37 |   2.2e-05 | first_order |   4.0e+00 |        79 |         37 |         473 |           2629 |         7.0e-05 |        4.7e+01 |
|  ChainedWood 20 |    20 |      4.4e-01 |    41 |   4.2e-04 | first_order |   1.0e+00 |        81 |         40 |         488 |           2721 |         1.6e-04 |        4.9e+01 |
| ChainedPowel 20 |    20 |      2.4e-01 |    12 |   3.2e-03 | first_order |   2.6e-05 |        13 |         13 |          65 |            403 |         6.0e-04 |        1.0e+02 |
|    CraggLevy 20 |    20 |      2.2e-01 |    13 |   4.1e-03 | first_order |   1.7e+04 |        17 |         14 |         105 |            612 |         3.5e-04 |        8.2e+01 |
|        Brown 20 |    20 |      2.2e-01 |    11 |   9.2e-06 | first_order |   7.1e+00 |        14 |         12 |         133 |            739 |         3.0e-04 |        8.6e+01 |
